inherited_word_id,inherited_word,meaning,lang_id,first_attestation,is_primary,is_regional,variety_or_region,notes
467,musclo,,13,14,yes,no,,
468,muslo,,17,13,yes,no,,
469,nadija,,17,12,yes,no,,
470,navaja,,17,13,yes,no,,
471,Navalia,,13,11,yes,no,,
472,nebli,,17,13,yes,no,,
473,negligencia,,17,13,yes,no,,
474,negrigença,,13,14,yes,no,,
475,nespereyra,,13,10,yes,no,,
476,névoa,,13,13,yes,no,,
477,nevris,,13,15,yes,no,,
478,niebla,,17,13,yes,no,,
479,nisperos,,17,14,yes,no,,
480,nublado,,17,13,yes,no,,
481,nublo,,17,13,yes,no,,
482,nuveado,,13,13,yes,no,,
483,núvia,,14,16,yes,no,,
484,oblada,,17,13,yes,no,,
485,obligar,,17,13,yes,no,,
486,obradar,,13,14,yes,no,,
487,obridar,,13,13,yes,no,,
488,obrigo,,13,13,yes,no,,
489,ojo,,17,12,yes,no,,
490,ollos,,13,13,yes,no,,
491,olvidar,,17,12,yes,no,,
492,onceja,,17,13,yes,no,,
493,orejadas,,17,12,yes,no,,
494,orellas,,13,12,yes,no,,
495,oreya,,15,,yes,no,,
496,ouelias,,13,9,yes,no,,
497,ovelias,,17,10,yes,no,,
498,oviello,,17,14,yes,no,,
499,palabra,,17,12,yes,no,,
500,palavra,,13,13,yes,no,,
501,panojas,,17,15,yes,no,,
502,pareja,,17,12,yes,no,,
503,parejo,,17,13,yes,no,,
504,parelios,,13,11,yes,no,,
505,parella,,13,13,yes,no,,
506,peligro,,17,13,yes,no,,
507,perigo,,13,13,yes,no,,
508,pesunho,,14,18,yes,no,,
509,pesuña,,17,15,yes,no,,
510,piérgula,,15,,yes,no,,
511,piesllu,,15,,yes,no,,
512,pilche,,24,,yes,no,,
513,piojos,,17,13,yes,no,,
514,piollo,,13,14,yes,no,,
515,playa,,17,13,yes,no,,
516,plaza,,17,12,yes,no,,
517,plazer,,17,12,yes,no,,
518,plazo,,17,11,yes,no,,
519,pllorar,,20,,yes,no,,
520,plomo,,17,11,yes,no,,
521,pluma,,17,11,yes,no,,
522,poblar,,17,12,yes,no,,
523,poboo,,13,13,yes,no,,
524,pobrou,,13,13,yes,no,,
525,praça,,13,13,yes,no,,
526,prayas,,13,14,yes,no,,
527,prazer,,13,12,yes,no,,
528,prazo,,13,10,yes,no,,
529,prégoa,,14,,yes,yes,Minhoto,
530,prouguer,,13,13,yes,no,,
531,prumas,,13,14,yes,no,,
532,publigo,,17,11,yes,no,,
533,pucaro,,13,14,yes,no,,
534,pueblo,,17,12,yes,no,,
535,puluega,,13,13,yes,no,,
536,quajo,,17,13,yes,no,,
537,quallado,,13,14,yes,no,,
538,quallo,,13,13,yes,no,,
539,quenlla,,12,20,yes,no,,
540,racha,,17,14,yes,no,,
541,rajado,,17,14,yes,no,,
542,ralhar,,14,18,yes,no,,
543,rallante,,12,19,yes,no,,
544,rallar,,17,15,yes,no,,
545,rallo,,17,15,yes,no,,
546,ralo,,14,16,yes,no,,
547,rêbo,,12,18,yes,no,,
548,rêbo,,14,17,yes,no,,
549,recluir,,16,16,yes,no,,
550,relia,,13,10,yes,no,,
551,relia,,17,10,yes,no,,
552,reninchando,,17,13,yes,no,,
553,resollar,,17,13,yes,no,,
554,resollo,,13,13-14,yes,no,,
555,restojo,,17,12,yes,no,,
